Year,J-D,CO2_Emissions
1950,-0.18,5930.244
1951,-0.07,6381.429
1952,0.01,6467.46
1953,0.08,6650.885
1954,-0.13,6789.529
1955,-0.14,7443.896
1956,-0.19,7926.013
1957,0.05,8185.645
1958,0.06,8417.188
1959,0.03,8854.689
1960,-0.03,9387.011
1961,0.06,9415.042
1962,0.03,9747.287
1963,0.05,10266.772
1964,-0.2,10824.466
1965,-0.11,11310.601
1966,-0.06,11862.646
1967,-0.02,12237.369
1968,-0.08,12905.283
1969,0.05,13761.785
1970,0.03,14899.124
1971,-0.08,15503.854
1972,0.01,16224.597
1973,0.16,17085.094
1974,-0.07,17011.072
1975,-0.01,17052.752
1976,-0.1,17989.111
1977,0.18,18498.635
1978,0.07,19069.291
1979,0.16,19609.02
1980,0.26,19488.523
1981,0.32,19022.902
1982,0.14,18871.098
1983,0.31,18991.91
1984,0.16,19647.801
1985,0.12,20311.902
1986,0.18,20614.963
1987,0.32,21250.074
1988,0.39,22085.131
1989,0.27,22386.637
1990,0.45,22728.988
1991,0.41,23186.102
1992,0.22,22528.172
1993,0.23,22755.787
1994,0.31,22992.947
1995,0.44,23532.084
1996,0.33,24258.168
1997,0.46,24401.906
1998,0.61,24303.777
1999,0.38,24853.729
2000,0.39,25510.553
2001,0.53,25706.293
2002,0.63,26276.869
2003,0.61,27669.49
2004,0.53,28632.506
2005,0.68,29614.395
2006,0.64,30628.396
2007,0.66,31534.645
2008,0.54,32074.199
2009,0.65,31541.922
2010,0.72,33355.902
2011,0.61,34504.539
2012,0.64,35000.02
2013,0.68,35301.656
2014,0.75,35450.094
2015,0.9,35404.898
2016,1.01,35416.656
2017,0.92,35989.898
2018,0.85,36730.426
2019,0.98,37104.273
2020,1.01,35126.527
2021,0.85,36991.734
